CP;DEPARTEMENT;REGION
43,130;Haute-Loire;Auvergne-Rhône-Alpes
72,140;Sarthe;Pays de la Loire
51,390;Marne;Alsace-Champagne-Ardenne-Lorraine
40,600;Landes;Aquitaine-Limousin-Poitou-Charentes
21,121;Côte-d'or;Bourgogne-Franche-Comté
77,400;Seine-et-Marne;Ile-de-France
78,530;Yvelines;Ile-de-France
30,600;Gard;Languedoc-Roussillon-Midi-Pyrénées
62,400;Pas-de-Calais;Nord-Pas-de-Calais-Picardie
38,690;Isre;Auvergne-Rhône-Alpes
69,650;Rhône;Auvergne-Rhône-Alpes
2,120;Aisne;Nord-Pas-de-Calais-Picardie
95,330;Val-d'oise;Ile-de-France
28,600;Eure-et-Loir;Centre-Val de Loire
44,100;Loire-Atlantique;Pays de la Loire
78,300;Yvelines;Ile-de-France
67,510;Bas-Rhin;Alsace-Champagne-Ardenne-Lorraine
30,300;Gard;Languedoc-Roussillon-Midi-Pyrénées
60,400;Oise;Nord-Pas-de-Calais-Picardie
9,100;Arige;Languedoc-Roussillon-Midi-Pyrénées
4,100;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur
62,860;Pas-de-Calais;Nord-Pas-de-Calais-Picardie
13,350;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur
49,290;Maine-et-Loire;Pays de la Loire
83,550;Var;Provence-Alpes-Côte d'Azur
77,380;Seine-et-Marne;Ile-de-France
60,540;Oise;Nord-Pas-de-Calais-Picardie
59,670;Nord;Nord-Pas-de-Calais-Picardie
17,600;Charente-Maritime;Aquitaine-Limousin-Poitou-Charentes
69,760;Rhône;Auvergne-Rhône-Alpes
95,360;Val-d'oise;Ile-de-France
2,100;Aisne;Nord-Pas-de-Calais-Picardie
12,290;Aveyron;Languedoc-Roussillon-Midi-Pyrénées
56,890;Morbihan;Bretagne
76,310;Seine-Maritime;Normandie
62,250;Pas-de-Calais;Nord-Pas-de-Calais-Picardie
57,250;Moselle;Alsace-Champagne-Ardenne-Lorraine
66,330;Pyrénées-Orientales;Languedoc-Roussillon-Midi-Pyrénées
8,090;Ardennes;Alsace-Champagne-Ardenne-Lorraine
88,170;Vosges;Alsace-Champagne-Ardenne-Lorraine
85,000;Vendée;Pays de la Loire
38,509;Isre;Auvergne-Rhône-Alpes
93,260;Seine-Saint-Denis;Ile-de-France
89,100;Yonne;Bourgogne-Franche-Comté
63,350;Puy-de-Dôme;Auvergne-Rhône-Alpes
31,240;Haute-Garonne;Languedoc-Roussillon-Midi-Pyrénées
74,600;Haute-Savoie;Auvergne-Rhône-Alpes
62,530;Pas-de-Calais;Nord-Pas-de-Calais-Picardie
24,000;Dordogne;Aquitaine-Limousin-Poitou-Charentes
54,500;Meurthe-et-Moselle;Alsace-Champagne-Ardenne-Lorraine
95,590;Val-d'oise;Ile-de-France
13,700;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur
3,000;Allier;Auvergne-Rhône-Alpes
95,190;Val-d'oise;Ile-de-France
74,000;Haute-Savoie;Auvergne-Rhône-Alpes
86,110;Vienne;Aquitaine-Limousin-Poitou-Charentes
26,120;Drôme;Auvergne-Rhône-Alpes
57,520;Moselle;Alsace-Champagne-Ardenne-Lorraine
59,680;Nord;Nord-Pas-de-Calais-Picardie
78,420;Yvelines;Ile-de-France
54,550;Meurthe-et-Moselle;Alsace-Champagne-Ardenne-Lorraine
85,100;Vendée;Pays de la Loire
88,000;Vosges;Alsace-Champagne-Ardenne-Lorraine
59,300;Nord;Nord-Pas-de-Calais-Picardie
69,330;Rhône;Auvergne-Rhône-Alpes
80,470;Somme;Nord-Pas-de-Calais-Picardie
56,850;Morbihan;Bretagne
6,250;Alpes-Maritimes;Provence-Alpes-Côte d'Azur
33,240;Gironde;Aquitaine-Limousin-Poitou-Charentes
45,300;Loiret;Centre-Val de Loire
83,150;Var;Provence-Alpes-Côte d'Azur
72,100;Sarthe;Pays de la Loire
38,480;Isre;Auvergne-Rhône-Alpes
37,220;Indre-et-Loire;Centre-Val de Loire
44,360;Loire-Atlantique;Pays de la Loire
78,620;Yvelines;Ile-de-France
84,460;Vaucluse;Provence-Alpes-Côte d'Azur
95,520;Val-d'oise;Ile-de-France
17,610;Charente-Maritime;Aquitaine-Limousin-Poitou-Charentes
44,160;Loire-Atlantique;Pays de la Loire
74,210;Haute-Savoie;Auvergne-Rhône-Alpes
22,730;Côtes-d'armor;Bretagne
60,280;Oise;Nord-Pas-de-Calais-Picardie
33,110;Gironde;Aquitaine-Limousin-Poitou-Charentes
40,660;Landes;Aquitaine-Limousin-Poitou-Charentes
38,660;Isre;Auvergne-Rhône-Alpes
13,500;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur
13,300;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur
81,800;Tarn;Languedoc-Roussillon-Midi-Pyrénées
12,370;Aveyron;Languedoc-Roussillon-Midi-Pyrénées
8,140;Ardennes;Alsace-Champagne-Ardenne-Lorraine
77,350;Seine-et-Marne;Ile-de-France
92,230;Hauts-de-Seine;Ile-de-France
59,160;Nord;Nord-Pas-de-Calais-Picardie
6,610;Alpes-Maritimes;Provence-Alpes-Côte d'Azur
80,090;Somme;Nord-Pas-de-Calais-Picardie
2,300;Aisne;Nord-Pas-de-Calais-Picardie
35,510;Ille-et-Vilaine;Bretagne
47,150;Lot-et-Garonne;Aquitaine-Limousin-Poitou-Charentes
53,240;Mayenne;Pays de la Loire
95,160;Val-d'oise;Ile-de-France
28,800;Eure-et-Loir;Centre-Val de Loire
13,127;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur
59,880;Nord;Nord-Pas-de-Calais-Picardie
91,370;Essonne;Ile-de-France
76,110;Seine-Maritime;Normandie
60,950;Oise;Nord-Pas-de-Calais-Picardie
85,300;Vendée;Pays de la Loire
43,500;Haute-Loire;Auvergne-Rhône-Alpes
68,300;Haut-Rhin;Alsace-Champagne-Ardenne-Lorraine
77,330;Seine-et-Marne;Ile-de-France
19,500;Corrze;Aquitaine-Limousin-Poitou-Charentes
27,140;Eure;Normandie
44,340;Loire-Atlantique;Pays de la Loire
24,110;Dordogne;Aquitaine-Limousin-Poitou-Charentes
69,660;Rhône;Auvergne-Rhône-Alpes
52,200;Haute-Marne;Alsace-Champagne-Ardenne-Lorraine
13,220;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur
77,144;Seine-et-Marne;Ile-de-France
78,810;Yvelines;Ile-de-France
78,800;Yvelines;Ile-de-France
14,310;Calvados;Normandie
74,150;Haute-Savoie;Auvergne-Rhône-Alpes
78,130;Yvelines;Ile-de-France
84,310;Vaucluse;Provence-Alpes-Côte d'Azur
78,480;Yvelines;Ile-de-France
61,000;Orne;Normandie
51,230;Marne;Alsace-Champagne-Ardenne-Lorraine
22,590;Côtes-d'armor;Bretagne
78,200;Yvelines;Ile-de-France
26,800;Drôme;Auvergne-Rhône-Alpes
82,100;Tarn-et-Garonne;Languedoc-Roussillon-Midi-Pyrénées
29,870;Finistre;Bretagne
78,170;Yvelines;Ile-de-France
3,630;Allier;Auvergne-Rhône-Alpes
78,670;Yvelines;Ile-de-France
9,220;Arige;Languedoc-Roussillon-Midi-Pyrénées
30,350;Gard;Languedoc-Roussillon-Midi-Pyrénées
92,370;Hauts-de-Seine;Ile-de-France
47,420;Lot-et-Garonne;Aquitaine-Limousin-Poitou-Charentes
54,520;Meurthe-et-Moselle;Alsace-Champagne-Ardenne-Lorraine
6,150;Alpes-Maritimes;Provence-Alpes-Côte d'Azur
83,480;Var;Provence-Alpes-Côte d'Azur
57,600;Moselle;Alsace-Champagne-Ardenne-Lorraine
21,800;Côte-d'or;Bourgogne-Franche-Comté
24,290;Dordogne;Aquitaine-Limousin-Poitou-Charentes
93,300;Seine-Saint-Denis;Ile-de-France
