B_ID;SEXE;REGIME_SOCIAL
35,140;Homme;G
43,576;Homme;A
231;Femme;G
12,104;Femme;A
36,769;Homme;G
32,799;Femme;A
34,403;Homme;G
4,347;Homme;G
15,269;Homme;G
29,069;Femme;A
40,084;Femme;G
34,190;Femme;A
4,820;Femme;A
40,099;Homme;G
36,965;Homme;G
32,272;Homme;A
26,594;Femme;G
40,916;Femme;A
19,650;Femme;G
46,490;Femme;G
83;Homme;A
49,068;Femme;G
27,701;Femme;A
32,651;Femme;G
24,099;Femme;G
35,990;Femme;A
11,094;Homme;A
17,156;Femme;A
9,116;Femme;G
11,954;Femme;G
21,118;Homme;G
17,298;Homme;A
33,067;Homme;G
11,149;Homme;G
3,538;Femme;G
22,494;Femme;G
38,610;Femme;A
45,355;Homme;G
37,769;Femme;G
9,783;Homme;G
19,370;Femme;A
38,043;Femme;A
631;Homme;A
41,501;Femme;G
46,125;Homme;G
22,263;Femme;G
42,255;Homme;G
20,650;Femme;G
7,354;Homme;A
15,959;Homme;A
5,122;Femme;G
43,348;Femme;A
14,197;Homme;A
22,938;Homme;A
20,644;Femme;A
19,948;Femme;G
16,825;Femme;G
12,628;Femme;A
32,539;Femme;G
37,244;Homme;A
49,004;Femme;G
21,094;Homme;A
4,464;Femme;G
41,465;Homme;G
24,653;Homme;G
45,505;Homme;G
32,092;Femme;G
49,853;Femme;A
50,309;Homme;G
6,223;Femme;A
19,783;Homme;A
51,788;Homme;G
16,804;Homme;A
34,742;Homme;A
18,440;Homme;D
10,752;Femme;G
12,341;Femme;G
32,311;Femme;A
9,447;Femme;G
27,156;Femme;A
18,121;Femme;G
11,443;Femme;G
5,892;Femme;G
13,447;Homme;G
18,430;Femme;G
7,279;Femme;G
9,569;Femme;G
21,904;Femme;A
43,135;Femme;A
9,372;Femme;G
47,201;Femme;G
28,538;Homme;G
11,096;Homme;A
47,689;Homme;G
35,231;Femme;A
4,821;Femme;G
43,971;Femme;G
44,763;Femme;A
5,024;Homme;A
48,566;Homme;G
19,971;Homme;G
12,100;Homme;A
14,654;Femme;G
18,933;Homme;G
685;Femme;G
6,758;Femme;A
17,063;Femme;G
39,080;Femme;G
3,071;Homme;G
44,350;Femme;A
50,452;Femme;G
23,334;Homme;A
7,056;Femme;G
13,275;Homme;G
463;Femme;A
26,603;Femme;G
41,648;Homme;A
18,459;Femme;G
28,687;Femme;D
9,732;Femme;G
28,373;Homme;G
15,670;Femme;G
36,251;Femme;A
1,078;Homme;L
20,997;Homme;A
23,261;Homme;G
6,676;Femme;G
6,882;Homme;A
29,482;Femme;G
18,507;Femme;G
32,234;Homme;A
1,619;Femme;A
29,916;Femme;G
44,172;Femme;G
39,128;Femme;G
45,889;Femme;A
13,614;Femme;G
42,044;Femme;G
27,646;Femme;A
28,816;Femme;G
24,668;Homme;G
22,960;Homme;G
51,604;Femme;G
35,699;Homme;G
41,645;Femme;G
26,583;Homme;A
16,512;Homme;G
20,213;Femme;G
24,085;Femme;G
324;Homme;A
19,592;Homme;G
6,152;Femme;G
34,314;Femme;A
3,447;Femme;A
14,018;Femme;A
13,502;Homme;G
12,737;Homme;G
24,403;Femme;G
30,252;Homme;A
46,642;Femme;A
23,588;Homme;G
15,147;Homme;A
23,322;Femme;G
2,311;Homme;G
35,844;Femme;L
33,288;Homme;G
10,279;Homme;A
22,478;Femme;A
262;Femme;G
4,888;Homme;G
31,852;Femme;G
36,238;Homme;G
